list-none-m,1,1000,1,3000,11127096,3709,26
list-none-m,2,1000,1,6000,48042275,8007,7462
list-none-m,4,1000,1,12000,163138494,13594,37284
list-none-m,8,1000,1,24000,627667475,26152,160131
list-none-m,12,1000,1,36000,1360423371,37789,350192
list-none-m,16,1000,1,48000,2256494504,47010,581022
list-none-m,24,1000,1,72000,5184671410,72009,1333863
list-none-s,1,1000,1,3000,11199400,3733,23
list-none-s,2,1000,1,6000,59326337,9887,9412
list-none-s,4,1000,1,12000,111581983,9298,16956
list-none-s,8,1000,1,24000,482321218,20096,107520
list-none-s,12,1000,1,36000,1272121070,35336,314238
list-none-s,16,1000,1,48000,2322926184,48394,616287
list-none-s,24,1000,1,72000,6753512296,93798,1911182
list-id-m,1,10,4,30,150785,5026,120
list-id-m,1,20,4,60,143442,2390,73
list-id-m,1,40,4,120,186940,1557,48
list-id-m,1,80,4,240,244590,1019,37
list-id-m,12,10,4,360,561837,1560,1498
list-id-m,12,20,4,720,854624,1186,4992
list-id-m,12,40,4,1440,1855946,1288,8543
list-id-m,12,80,4,2880,4082692,1417,11224
list-id-m,4,10,4,120,157305,1310,367
list-id-m,4,20,4,240,278614,1160,315
list-id-m,4,40,4,480,619612,1290,1949
list-id-m,4,80,4,960,1143071,1190,1954
list-id-m,8,10,4,240,369986,1541,1950
list-id-m,8,20,4,480,562915,1172,2959
list-id-m,8,40,4,960,1233489,1284,5355
list-id-m,8,80,4,1920,2679238,1395,6865
list-id-m,16,10,4,480,617006,1285,3464
list-id-m,16,20,4,960,1167334,1215,8596
list-id-m,16,40,4,1920,2712040,1412,13715
list-id-m,16,80,4,3840,5450192,1419,15823
list-id-s,1,10,4,30,86165,2872,34
list-id-s,1,20,4,60,139791,2329,28
list-id-s,1,40,4,120,148178,1234,25
list-id-s,1,80,4,240,259847,1082,24
list-id-s,12,10,4,360,433680,1204,354
list-id-s,12,20,4,720,618019,858,3563
list-id-s,12,40,4,1440,1408371,978,6731
list-id-s,12,80,4,2880,3321741,1153,8577
list-id-s,4,10,4,120,172128,1434,311
list-id-s,4,20,4,240,248971,1037,266
list-id-s,4,40,4,480,425420,886,952
list-id-s,4,80,4,960,858840,894,1176
list-id-s,8,10,4,240,297330,1238,899
list-id-s,8,20,4,480,381392,794,1429
list-id-s,8,40,4,960,932577,971,3603
list-id-s,8,80,4,1920,2035478,1060,4455
list-id-s,16,10,4,480,565480,1178,251
list-id-s,16,20,4,960,795259,828,4140
list-id-s,16,40,4,1920,1985539,1034,9190
list-id-s,16,80,4,3840,5146981,1340,14543
list-none-m,1,1000,4,3000,3200769,1066,26
list-none-m,2,1000,4,6000,16090560,2681,1276
list-none-m,4,1000,4,12000,36341280,3028,5374
list-none-m,8,1000,4,24000,87089994,3628,18689
list-none-m,12,1000,4,36000,185509284,5153,47161
list-none-s,1,1000,4,3000,3153989,1051,23
list-none-s,2,1000,4,6000,8663265,1443,519
list-none-s,4,1000,4,12000,43873640,3656,5703
list-none-s,8,1000,4,24000,94453351,3935,19481
list-none-s,12,1000,4,36000,157203287,4366,36396
list-none-m,1,1000,8,3000,1889633,629,30
list-none-m,2,1000,8,6000,9173710,1528,549
list-none-m,4,1000,8,12000,18695359,1557,2065
list-none-m,8,1000,8,24000,39471693,1644,6667
list-none-m,12,1000,8,36000,72639847,2017,15305
list-none-s,1,1000,8,3000,1953135,651,23
list-none-s,2,1000,8,6000,8535485,1422,327
list-none-s,4,1000,8,12000,21850465,1820,1733
list-none-s,8,1000,8,24000,41071377,1711,5868
list-none-s,12,1000,8,36000,60527536,1681,11276
list-none-m,1,1000,16,3000,1255646,418,26
list-none-m,2,1000,16,6000,5722409,953,327
list-none-m,4,1000,16,12000,11074485,922,888
list-none-m,8,1000,16,24000,21119748,879,2708
list-none-m,12,1000,16,36000,31611121,878,5117
list-none-s,1,1000,16,3000,1215289,405,23
list-none-s,2,1000,16,6000,5104962,850,189
list-none-s,4,1000,16,12000,12218664,1018,707
list-none-s,8,1000,16,24000,20338377,847,2107
list-none-s,12,1000,16,36000,28073551,779,3979
list-id-none,1,1,4,3,80189,26729,86
list-id-none,1,2,4,6,105462,17577,50
list-id-none,1,4,4,12,103261,8605,35
list-id-none,1,8,4,24,84600,3525,25
list-id-none,1,16,4,48,148929,3102,20
list-id-none,12,1,4,36,440319,12231,86
list-id-none,12,2,4,72,407726,5662,44
list-id-none,12,4,4,144,413673,2872,32
list-id-none,12,8,4,288,462923,1607,27
list-id-none,4,1,4,12,158664,13222,85
list-id-none,4,2,4,24,194798,8116,51
list-id-none,4,4,4,48,187550,3907,36
list-id-none,4,8,4,96,192746,2007,30
list-id-none,4,16,4,192,193117,1005,28
list-id-none,8,1,4,24,298324,12430,72
list-id-none,8,2,4,48,313652,6534,53
list-id-none,8,4,4,96,319540,3328,44
list-id-none,8,8,4,192,304010,1583,27
list-id-none,8,16,4,384,318186,828,26
list-id-none,16,1,4,48,463114,9648,67
list-id-none,16,2,4,96,496500,5171,43
list-id-none,16,4,4,192,523306,2725,30
list-id-s,1,10,4,30,116028,3867,36
list-id-m,1,10,4,30,93341,3111,114
list-id-s,1,20,4,60,151330,2522,28
list-id-m,1,20,4,60,108897,1814,72
list-id-s,1,40,4,120,159909,1332,25
list-id-m,1,40,4,120,143981,1199,47
list-id-s,1,80,4,240,238343,993,24
list-id-m,1,80,4,240,240452,1001,37
list-id-s,4,10,4,120,185506,1545,114
list-id-m,4,10,4,120,207999,1733,881
list-id-s,4,20,4,240,230877,961,664
list-id-m,4,20,4,240,315547,1314,1325
list-id-s,4,40,4,480,382909,797,743
list-id-m,4,40,4,480,554443,1155,1563
list-id-s,4,80,4,960,861126,897,1193
list-id-m,4,80,4,960,1232723,1284,2065
list-id-s,8,10,4,240,298847,1245,53
list-id-m,8,10,4,240,382810,1595,2869
list-id-s,8,20,4,480,484039,1008,2229
list-id-m,8,20,4,480,595614,1240,3717
list-id-s,8,40,4,960,849260,884,3327
list-id-m,8,40,4,960,1105919,1151,4407
list-id-s,8,80,4,1920,1949492,1015,4343
list-id-m,8,80,4,1920,2522408,1313,5936
list-id-s,12,10,4,360,436014,1211,300
list-id-m,12,10,4,360,531493,1476,4023
list-id-s,12,20,4,720,652337,906,3294
list-id-m,12,20,4,720,838884,1165,5260
list-id-s,12,40,4,1440,1331235,924,5666
list-id-m,12,40,4,1440,1823344,1266,9011
list-id-s,12,80,4,2880,3351019,1163,8607
list-id-m,12,80,4,2880,3918499,1360,10826
list-id-s,16,10,4,480,471631,982,100
list-id-m,16,10,4,480,575683,1199,2198
list-id-s,16,20,4,960,816178,850,3590
list-id-m,16,20,4,960,1125065,1171,7702
list-id-s,16,40,4,1920,2089561,1088,10406
list-id-m,16,40,4,1920,2723435,1418,14493
list-id-s,16,80,4,3840,5205089,1355,15045
list-id-m,16,80,4,3840,5534622,1441,15831
list-none-s,1,1000,1,3000,11225448,3741,23
list-none-m,1,1000,1,3000,11404825,3801,26
list-none-s,1,1000,4,3000,3225193,1075,23
list-none-m,1,1000,4,3000,3202566,1067,26
list-none-s,1,1000,8,3000,1848450,616,23
list-none-m,1,1000,8,3000,1839496,613,26
